里名,國民黨代號,國民黨得票數,民進黨代號,民進黨得票數,親民黨代號,親民黨得票數,
臺北市內湖區明湖里,1,1015,2,1549,3,350,
臺北市內湖區蘆洲里,1,176,2,425,3,85,
臺北市內湖區麗山里,1,1091,2,1928,3,370,
臺北市內湖區寶湖里,1,1775,2,2069,3,448,
臺北市內湖區南湖里,1,1206,2,1350,3,337,
臺北市士林區仁勇里,1,668,2,1420,3,235,
臺北市士林區義信里,1,605,2,1003,3,170,
臺北市士林區福林里,1,657,2,933,3,194,
臺北市士林區福德里,1,966,2,1470,3,297,
臺北市士林區福志里,1,1859,2,2325,3,381,
臺北市士林區舊佳里,1,1210,2,2128,3,303,
臺北市士林區福佳里,1,1518,2,2732,3,436,
臺北市士林區後港里,1,1324,2,2909,3,443,
臺北市士林區福中里,1,1062,2,2569,3,401,
臺北市士林區前港里,1,727,2,1631,3,308,
臺北市士林區百齡里,1,1245,2,2661,3,416,
臺北市士林區承德里,1,1179,2,1811,3,325,
臺北市士林區福華里,1,1134,2,2160,3,368,
臺北市士林區明勝里,1,851,2,1784,3,291,
臺北市士林區福順里,1,761,2,2090,3,302,
臺北市士林區富光里,1,810,2,2227,3,339,
臺北市士林區葫蘆里,1,1386,2,2762,3,400,
臺北市士林區葫東里,1,595,2,1620,3,222,
臺北市士林區社子里,1,911,2,2510,3,414,
臺北市士林區社新里,1,1262,2,3516,3,496,
臺北市士林區社園里,1,913,2,3020,3,393,
臺北市士林區永倫里,1,1050,2,2936,3,386,
臺北市士林區福安里,1,374,2,2356,3,200,
臺北市士林區富洲里,1,596,2,2645,3,266,
臺北市士林區岩山里,1,784,2,1015,3,211,
臺北市士林區名山里,1,1619,2,2206,3,453,
臺北市士林區德行里,1,893,2,1423,3,277,
臺北市士林區德華里,1,1100,2,2000,3,302,
臺北市士林區聖山里,1,1298,2,1467,3,298,
臺北市士林區忠誠里,1,1620,2,1342,3,358,
臺北市士林區芝山里,1,1547,2,2366,3,476,
臺北市士林區東山里,1,1257,2,1393,3,331,
臺北市士林區三玉里,1,1207,2,1885,3,344,
臺北市士林區蘭雅里,1,1847,2,2803,3,466,
臺北市士林區蘭興里,1,1334,2,2187,3,362,
臺北市士林區天福里,1,1352,2,1920,3,316,
臺北市士林區天祿里,1,1018,2,1747,3,289,
臺北市士林區天壽里,1,1070,2,1558,3,258,
臺北市士林區天和里,1,1619,2,2336,3,385,
臺北市士林區天山里,1,1531,2,2054,3,367,
臺北市士林區天玉里,1,1876,2,2615,3,490,
臺北市士林區天母里,1,1457,2,2015,3,414,
臺北市士林區永福里,1,191,2,486,3,70,
臺北市士林區公館里,1,170,2,549,3,68,
臺北市士林區新安里,1,335,2,780,3,86,
臺北市士林區陽明里,1,618,2,967,3,173,
臺北市士林區菁山里,1,289,2,565,3,96,
臺北市士林區平等里,1,139,2,717,3,54,
臺北市士林區溪山里,1,195,2,548,3,76,
臺北市士林區翠山里,1,857,2,543,3,163,
臺北市士林區臨溪里,1,695,2,880,3,179,
臺北市北投區建民里,1,827,2,1507,3,251,
臺北市北投區文林里,1,794,2,1532,3,220,
臺北市北投區石牌里,1,1012,2,1908,3,329,
臺北市北投區福興里,1,1371,2,2323,3,433,
臺北市北投區榮光里,1,1502,2,2230,3,430,
臺北市北投區榮華里,1,1680,2,2354,3,414,
臺北市北投區裕民里,1,1609,2,2414,3,481,
臺北市北投區振華里,1,1725,2,2311,3,488,
臺北市北投區永和里,1,1787,2,2910,3,486,
臺北市北投區永欣里,1,1812,2,2228,3,418,
臺北市北投區永明里,1,1046,2,1488,3,305,
臺北市北投區東華里,1,1069,2,1335,3,288,
臺北市北投區吉利里,1,1505,2,2028,3,462,
臺北市北投區吉慶里,1,932,2,1863,3,287,
臺北市北投區尊賢里,1,809,2,1692,3,271,
臺北市北投區立賢里,1,964,2,1829,3,318,
臺北市北投區立農里,1,1719,2,3040,3,513,
臺北市北投區八仙里,1,1035,2,1823,3,297,
臺北市北投區洲美里,1,235,2,922,3,99,
臺北市北投區奇岩里,1,1968,2,3181,3,576,
臺北市北投區清江里,1,1609,2,2971,3,503,
臺北市北投區中央里,1,1513,2,3037,3,442,
臺北市北投區長安里,1,1081,2,1952,3,332,
臺北市北投區大同里,1,1002,2,2167,3,348,
臺北市北投區溫泉里,1,1307,2,2251,3,407,
臺北市北投區林泉里,1,800,2,841,3,206,
臺北市北投區中心里,1,1187,2,1969,3,360,
臺北市北投區中庸里,1,773,2,1556,3,250,
臺北市北投區開明里,1,1476,2,2032,3,396,
臺北市北投區中和里,1,1124,2,1596,3,323,
臺北市北投區智仁里,1,1267,2,1944,3,358,
臺北市北投區秀山里,1,744,2,1039,3,212,
臺北市北投區文化里,1,1245,2,958,3,261,
臺北市北投區豐年里,1,938,2,1478,3,293,
臺北市北投區稻香里,1,1040,2,1522,3,312,
臺北市北投區桃源里,1,1075,2,2111,3,369,
臺北市北投區一德里,1,1240,2,2570,3,408,
臺北市北投區關渡里,1,2137,2,3759,3,654,
臺北市北投區泉源里,1,374,2,857,3,125,
臺北市北投區湖山里,1,302,2,630,3,115,
臺北市北投區大屯里,1,147,2,468,3,55,
臺北市北投區湖田里,1,149,2,345,3,68,
